#partition along x-axis Njack=  10
# No.          xlow             xup       Nrandom
  0       111.92327       134.40612         57641
  1       134.40612       147.56759         57641
  2       147.56759       160.28685         57641
  3       160.28685       172.89517         57641
  4       172.89517       185.26156         57641
  5       185.26156       198.52962         57641
  6       198.52962       211.01085         57641
  7       211.01085       224.08312         57641
  8       224.08312       240.72517         57641
  9       240.72517       263.81226         57641
